,Sample number with low likelihood
KIR3DP1,['69F_S64_L001_R']
KIR2DS5,"['1037_S321_L001_R', '1097_S379_L001_R', '1121_S594_L002_R']"
KIR2DL3,"['1097_S379_L001_R', '1125_S598_L002_R', '23F_S19_L001_R']"
KIR2DP1,"['16F_S12_L001_R', '23F_S19_L001_R']"
KIR2DS3,"['1028_S312_L001_R', '1038_S322_L001_R', '1041_S325_L001_R', '1105_S579_L002_R', '1136_S608_L002_R', '1157_S627_L002_R']"
KIR2DS2,"['1038_S322_L001_R', '1059_S343_L001_R', '1079_S363_L001_R', '1136_S608_L002_R', '23F_S19_L001_R']"
KIR2DL4,"['27F_S23_L001_R', '66F_S61_L001_R']"
KIR3DL1,"['1111_S585_L002_R', '1125_S598_L002_R', '1157_S627_L002_R', '20F_S16_L001_R']"
KIR3DS1,"['1019_S303_L001_R', '1037_S321_L001_R', '1043_S327_L001_R', '1055_S339_L001_R', '1117_S590_L002_R', '1121_S594_L002_R']"
KIR2DL2,"['1129_S601_L002_R', '1136_S608_L002_R', '23F_S19_L001_R']"
KIR3DL2,"['1055_S339_L001_R', '1077_S361_L001_R']"
KIR2DS4,"['1044_S328_L001_R', '1138_S610_L002_R', '23F_S19_L001_R']"
